organism,ec,lineage
Candidatus Methanomethylophilus alvus Mx1201,1.11.1.6,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.11.1.9,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.205,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.23,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.25,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.261,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.28,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.302,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.34,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.38,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.41,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.85,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.86,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.1.95,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.2.4,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.12.99.-,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.1.3.15,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.15.1.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.17.1.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.17.4.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.18.6.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.11,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.38,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.41,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.59,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.1.70,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.7.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.2.7.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.3.1.101,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.3.1.12,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.3.1.14,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.3.5.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.3.99.34,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.4.1.13,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.4.1.14,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.4.1.21,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.4.1.24,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.4.1.4,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.5.1.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.5.1.5,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.6.3.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.6.5.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.7.7.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.1.9,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.4.11,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.4.12,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.4.8,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.5.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.8.98.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,1.97.1.4,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.-,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.107,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.130,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.131,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.132,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.133,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.148,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.151,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.163,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.166,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.182,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.195,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.201,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.206,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.213,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.215,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.216,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.219,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.220,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.228,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.246,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.251,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.257,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.271,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.314,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.63,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.72,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.1.90,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.2.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.2.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.3.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.1.3.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.2.1.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.2.1.10,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.2.1.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.2.1.6,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.1,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.128,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.30,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.35,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.46,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.48,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.79,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.1.9,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
Candidatus Methanomethylophilus alvus Mx1201,2.3.3.10,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus;Candidatus Methanomethylophilus alvus Mx1201
